source,target,timestamp
2,5,31220
1,2,31220
8,11,31220
11,12,31220
6,7,31220
9,10,31220
6,8,31220
3,4,31220
2,5,31240
1,2,31240
15,16,31240
11,12,31240
6,7,31240
9,10,31240
6,8,31240
13,14,31240
1,2,31260
1,17,31260
2,17,31260
2,5,31260
2,17,31260
5,17,31260
20,21,31260
9,10,31260
18,19,31260
6,8,31260
20,22,31260
3,4,31260
13,14,31260
2,5,31280
2,17,31280
5,17,31280
1,2,31280
1,17,31280
2,17,31280
6,11,31280
20,21,31280
6,7,31280
9,10,31280
25,26,31280
6,8,31280
23,24,31280
29,30,31300
2,5,31300
1,2,31300
15,16,31300
9,10,31300
25,31,31300
6,8,31300
27,28,31300
42,47,31320
32,33,31320
32,34,31320
33,34,31320
39,40,31320
45,46,31320
43,44,31320
9,10,31320
34,35,31320
41,42,31320
29,30,31320
19,31,31320
36,37,31320
23,38,31320
32,33,31340
32,48,31340
33,48,31340
27,33,31340
54,55,31340
1,2,31340
35,50,31340
36,50,31340
32,49,31340
2,5,31340
39,40,31340
15,16,31340
15,56,31340
16,56,31340
45,46,31340
9,10,31340
19,25,31340
25,57,31340
34,35,31340
27,34,31340
29,30,31340
27,49,31340
36,51,31340
52,53,31340
23,38,31340
32,33,31360
32,34,31360
33,34,31360
33,34,31360
33,49,31360
34,49,31360
27,33,31360
27,49,31360
33,49,31360
32,34,31360
32,48,31360
34,48,31360
32,48,31360
32,61,31360
48,61,31360
16,56,31360
59,60,31360
59,62,31360
60,62,31360
61,62,31360
45,46,31360
6,7,31360
9,10,31360
58,59,31360
58,60,31360
59,60,31360
29,30,31360
3,4,31360
52,53,31360
23,38,31360
20,63,31360
13,68,31380
2,5,31380
2,17,31380
5,17,31380
39,40,31380
45,46,31380
25,57,31380
65,66,31380
20,21,31380
20,22,31380
21,22,31380
47,70,31380
27,33,31380
27,34,31380
33,34,31380
43,69,31380
35,37,31380
1,17,31380
50,64,31380
32,37,31380
32,48,31380
37,48,31380
3,4,31380
13,67,31380
32,48,31380
32,61,31380
48,61,31380
9,10,31380
6,7,31380
51,60,31380
36,61,31380
36,62,31380
61,62,31380
16,56,31380
32,33,31400
32,34,31400
33,34,31400
27,33,31400
47,70,31400
53,54,31400
32,34,31400
32,48,31400
34,48,31400
1,17,31400
39,40,31400
16,72,31400
16,56,31400
45,46,31400
6,7,31400
9,10,31400
25,57,31400
65,66,31400
29,30,31400
5,17,31400
37,64,31400
36,64,31400
6,8,31400
28,37,31400
4,71,31400
52,53,31400
23,38,31400
47,70,31420
53,54,31420
27,32,31420
32,48,31420
35,37,31420
35,50,31420
37,50,31420
43,69,31420
39,40,31420
51,62,31420
20,21,31420
9,10,31420
6,7,31420
28,35,31420
27,33,31420
27,34,31420
33,34,31420
29,73,31420
5,17,31420
1,17,31420
59,64,31420
36,59,31420
1,17,31440
47,70,31440
32,34,31440
32,48,31440
50,64,31440
43,69,31440
39,40,31440
