node_index,node_id,true_role,pred_role,prob_periphery,prob_bridge,prob_central
0,1,2,2,7.0192254e-05,0.25105205,0.74887776
1,10,2,2,9.920241e-07,0.12269185,0.8773071
2,100,1,1,0.03004018,0.60590714,0.36405265
3,101,2,2,1.0801809e-11,0.0011104203,0.9988896
4,102,2,2,0.010309204,0.41045853,0.57923234
5,103,2,2,0.010309204,0.41045853,0.57923234
6,104,1,2,0.010309204,0.41045853,0.57923234
7,105,1,1,0.41511512,0.5790842,0.005800572
8,106,1,1,0.016632698,0.9833665,8.483423e-07
9,107,1,1,0.02007731,0.97992206,5.4053913e-07
10,108,2,2,0.0008442966,0.16389565,0.8352601
11,109,0,1,0.26616997,0.71498656,0.018843405
12,11,1,0,0.60503083,0.39369008,0.0012791052
13,110,0,0,0.99997747,2.2576793e-05,7.407605e-14
14,111,2,2,0.0092583485,0.48532584,0.5054158
15,112,1,1,0.12302831,0.77039903,0.10657257
16,113,0,0,0.9876281,0.012371727,1.1785885e-07
17,114,2,2,0.010309204,0.41045853,0.57923234
18,115,0,0,0.9998747,0.00012531661,5.8515416e-15
19,116,0,0,0.64233005,0.35675249,0.00091746525
20,117,2,2,5.2463693e-05,0.050707042,0.9492405
21,118,2,2,0.011647431,0.4316533,0.5566993
22,119,2,2,1.4168006e-14,7.005889e-06,0.99999297
23,12,0,0,0.999938,6.194206e-05,8.372515e-13
24,120,2,2,2.3011677e-15,6.8880313e-06,0.9999931
25,121,1,1,0.03239306,0.6194771,0.34812993
26,122,0,0,0.99999154,8.4329595e-06,6.4256716e-15
27,123,2,2,0.010309204,0.41045853,0.57923234
28,124,1,1,0.00018256278,0.89309376,0.10672367
29,125,2,2,0.010309204,0.41045853,0.57923234
30,126,2,2,0.010309204,0.41045853,0.57923234
31,127,1,2,0.010309204,0.41045853,0.57923234
32,128,1,1,0.10718335,0.76726264,0.12555407
33,129,0,0,0.9789868,0.021010853,2.3350717e-06
34,13,1,1,0.046323568,0.9532894,0.0003870652
35,130,0,0,0.9757441,0.024254108,1.7731182e-06
36,131,1,1,0.2058148,0.7941745,1.0680564e-05
37,132,2,2,0.010309204,0.41045853,0.57923234
38,133,2,2,2.2891538e-09,0.00058273366,0.9994173
39,134,1,2,0.010309204,0.41045853,0.57923234
40,135,0,1,0.22357988,0.7316164,0.044803686
41,136,2,2,4.2169606e-18,1.3275766e-06,0.9999987
42,137,1,2,0.010309204,0.41045853,0.57923234
43,138,1,1,0.13445842,0.7702573,0.095284216
